<oov>	oov
{SL}	sil
A	a:
AI	a:i
Air	ɛ:
Annual	a: nn ʊ ŋ
Anson	a: n s ɔ: n
app	ˈɛ: p
B	b i:
band	p ɛ: n
bb	p i: p i:
beat	p i: t
Browser	pʰ r ɔ: w s ɐ
C	s i:
camp	kʰ ɛ: m
captcha	kʰ ɛ: p tʰ ɛ:
Carrie	kʰ ɛ:
case	kʰ ei s i:
casting	k a: s tʰ ɪ ŋ
Cheap	t sʰ i: p
check	t sʰ ɛ: k
chok	kʰ ɔ: k
chrome	kʰ r ou
Chrome	kʰ r ou
Club	kʰ ɐ p
common	kʰ ɔ: m ɔ: n
Common	kʰ ɔ: m ɔ: n
corolla	kʰ ɔ: r ou l a:
Corona	kʰ ɔ: r ou n a:
Credit	kʰ ɛ: tʰ ɛ:
cut	kʰ ɐ t
d	d i:
D	d i:
Deep	d i: p
Department	d ˌe p a: t m ɛ: n
designer	d ɪ s a: n
disco	t ɪ s k ou
Discourse	d ɪ s k ʊ ʁ s
dj	d i: j i:
do	j i:
Do	j i:
Dodo	d ou d ou
Dum	d ɐ m
E	ei
Edan	ɛ: t a: n
email	j i: m ɛ:
fan	f ɛ: n
fans	f ɛ: n s i:
feel	f i:u
final	f ɪ n a: l
Firefox	f a:i r e f ɔ: k s i:
friend	f ɛ: n
Future	f u: t j y:
gag	k ɛ: k
game	kʰ ɛ:
GitHub	kʰ ɛ: t h ʊ p
go	k ɔ:
Google	ɡ u: l i:
hall	h ou
Happy	h ɛ: pp i:
hea	h ɛ:
heahea	h i:a h i:a
heavy	h i: v
Herd	h ɛ: r d
high	h a:i
High	h a:i
Home	h ou
hurt	h œ: t
I	j i:
Ibank	ɐi p ɐ ŋ kʰ ei
Immunity	ˌi m u: n t i:
in	ɐ n
Instagram	ɪ n s t a: g r a m
J	j i:
k	kʰ i:u
K	kʰ y: t
lag	l ɛ:
Leave	l i: v
Level	l ɛ: v l i:
like	l a:i kʰ ei
love	l ɐ v
lunch	l ʊ n t s i:
M	m ei
Macbook	m ɛ: k p ʊ k
MacBook	m a: k b ʊ k
mask	m a: s kʰ i:
me	m i:
model	m ɔ: tʰ i:u
Mozilla	m ou t s i: l a:
O	ou
ok	ɔ: kʰ ei
one	w ɐ n
option	ɔ: p s i:u
P	pʰ i:u
Panadol	pʰ a: n a: tʰ ou
part	pʰ a: t
Part	pʰ a: t
party	pʰ a: t tʰ i:
pat	pʰ ɛ: t
pay	pʰ ă j
point	pʰ ɔ:i
post	pʰ ɔ: s i:
Post	pʰ ɔ: s i:
present	pʰ ɛ: s ɛ: n
project	pʰ ɔ: j ɛ: k
Q	kʰ y: t
relax	tʰ i: l ɛ: k s i:
Report	r ɛ: p ɔ: t
resume	r ɛ: s i: m ei
S	s i:
send	s ɛ: n
set	s ɛ: t
Seven	s ɛ: v ɛ: n
shop	s ɔ: p
Shopping	s ɔ: p pʰ ɪ ŋ
sir	s i:
sorry	s ɔ: l i:
Speech	s p i: t
student	s i: j i:
tag	t ɛ: k
Team	tʰ i: m
Time	t a:i
timing	t a:i m ɪ ŋ
to	tʰ ou
Trainee	tʰ ɛ: n i:
Up	ɐ p
van	w ɛ: n
voice	v ɔ: s i:
Voice	v ɔ: s i:
weekend	w i: k ɛ: n
Well	w ɛ: l
Wiki	w ɪ k ˈi
Windows	w ɪ n d ɔ: w s
work	w œ: k
X	t sʰ ɐ p
year	j i:
you	j ɐu
youtube	j ɐu t i: p
YouTube	j ɐu t y: b
一	j ɐ t
丁	t s a: ŋ
丁	t ɪ ŋ
丁	t s ɐ ŋ
七	t sʰ ɐ t
丈	t s œ: ŋ
三	s a: m
上	s œ: ŋ
下	h a:
不	f ɐu
不	p ɐ t
丑	t sʰ ɐu
且	t s œ: ŋ
且	t s ɵy
且	t sʰ ɛ:
丕	pʰ ei
世	s ɐi
